Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Iceland,42.26858538,42.53342199,44.34784888,44.76352802,44.63078667,44.03402965,43.3408575,41.78373031,40.65246895,41.36670139,40.96251925,41.51918179,42.82434469,44.30153924,42.58158923,41.30284706,40.71966954,40.58999811,54.49582404,47.3887926,47.78477437,44.22507887,43.82990114,42.39648344,43.81252532,41.37521862,44.50989508,42.93391262,42.26520982,41.84411443,48.09251372,45.686184,44.96107723,44.40427157,44.06119966,43.52676746
India,25.37149754,26.80147855,26.22926192,25.74205238,25.75625289,24.54938513,23.94404158,24.79637299,25.58571776,25.40422838,25.63605208,27.78837908,28.613299,29.42573808,27.95920009,26.43071772,26.6585538,26.46690464,28.69003936,28.05205601,27.44729154,27.64058169,27.36385502,26.5999481,26.22044208,27.05679614,27.23089444,26.21723581,26.50865272,27.51964907,31.15742836,29.97145166,29.55900312,29.33393788,29.15726967,28.99397599
Indonesia,no data,no data,no data,14.09342495,13.52380709,11.9070424,11.50798782,15.24950934,15.07877225,15.14017535,15.30287064,19.50874835,16.92889761,18.17600295,17.83322522,17.43604953,18.49502715,18.72938171,19.3940013,17.026393,16.88630257,17.71309564,18.83580439,19.08118867,18.6062452,17.47816164,16.82377448,16.56237752,16.6313568,16.38156805,18.12199438,17.39202067,16.32052539,15.71797391,15.8598608,15.79302145
Iran,20.20260076,17.2327122,17.9962145,32.94150892,27.18839947,25.41833637,21.15269498,21.04332007,20.23272424,19.07918392,16.30300776,16.57534865,19.95653157,19.8475581,18.23972231,20.90077182,22.7140158,18.9259009,21.28525913,19.89114506,18.38625315,18.30632815,14.26767218,14.37765345,15.40942675,17.88477701,19.54908056,19.34882486,18.0635819,17.02394263,18.90782707,18.5370149,19.26850459,19.89119611,20.39775211,20.77769707
Ireland,45.14377958,46.69476314,47.43343852,45.17503875,44.81247795,40.82075509,38.98782033,36.50297726,34.55975117,32.85683456,30.95183974,32.51600685,33.21546482,33.01959249,33.15922149,33.38501413,33.91577968,35.96288197,41.85350108,47.14759526,65.11022044,46.66512486,42.11519228,40.49435233,37.51000082,28.96527183,27.89006909,25.99435282,25.03980247,24.19579437,29.35563397,26.33057836,24.31666638,23.55712781,23.07429949,22.5398112
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.78485594,47.55691602,51.54002282,46.89600374,44.45755955,43.69001469,42.94136307,41.37774878,42.04362358,42.12814493,40.39633956,39.83514928,40.44069322,40.40019294,38.8516323,37.72149332,37.97840228,38.86926964,39.63985099,39.17929445,46.54518115,41.83419353,40.65939537,40.18509317,39.71107702,39.22714119
Italy,54.02078596,55.16739322,56.62536822,57.6094988,54.90925681,51.61872979,51.48918797,49.49183326,48.15016121,47.21384267,46.53563837,47.33946868,46.6997813,47.17446779,46.87961331,47.24179602,47.7935991,46.7836442,47.83360811,51.11091668,49.92779028,49.17440786,50.59004814,50.9515108,50.85550309,50.31712231,49.07839251,48.76254828,48.54051257,48.70834301,59.71767329,53.75555182,51.50348069,50.18186095,50.00515332,49.96285912
Japan,29.95826356,29.81878461,30.85062954,32.73486349,33.38538658,34.0035162,34.46257552,33.67513351,39.27426275,36.15850075,36.55414975,36.03325705,36.43438526,36.13351709,34.76402948,34.59819065,34.07671618,34.00818374,34.96345511,39.5113391,38.54916719,39.4183331,39.37351338,39.48600439,38.88905106,38.0216397,37.97853819,37.31926549,37.52635312,37.68613133,48.11376484,40.31672446,37.63261664,37.41186952,37.38295442,37.52198647
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.52718071,21.35511168,21.26276155,22.00600411,19.79979804,23.70458261,27.06829859,23.47015091,22.4734203,21.23391482,21.91202159,19.80863947,21.26023261,22.87029785,21.51166999,24.08791833,18.84662792,20.24849328,23.12068792,21.97489946,20.48963914,19.99176691,19.84110092,19.65406018
Kenya,22.88097629,21.88798589,23.43855025,25.19727097,25.02975141,23.07481586,20.26539242,20.70893713,20.11021742,18.27738761,18.67032692,19.7008616,21.13307009,21.10453002,20.16914483,21.44701525,21.37066157,22.09519581,22.82591351,23.13416644,24.21224743,23.57209939,24.1760631,25.39622026,27.15034025,27.19455038,27.65003419,26.06383417,25.5992037,25.4143194,25.123286,24.95091308,24.42758366,24.05867771,23.69683418,23.54986421
"Korea, Republic of",no data,no data,no data,no data,no data,13.98091072,14.52559219,14.34773833,16.61839385,16.73582821,16.61340617,17.55713428,16.46237314,18.52483534,19.20178398,18.86924802,19.46106882,19.58373096,19.90870336,20.34876131,18.62828101,19.07001476,19.66646606,19.90472936,19.75758336,19.73811661,19.48759162,19.63786965,20.38291583,22.615112,26.11895491,25.2141278,25.56323811,25.61144644,25.50442841,25.50442841
Kuwait,92.31067389,204.1701362,90.82057011,61.3799223,58.52970498,54.59026823,44.51659313,43.67796197,52.01239513,44.92013289,36.55364825,42.95162103,41.8656082,37.03947449,34.2018137,28.11947718,31.91426729,30.07972714,40.39573269,42.18722333,44.74080879,39.05826806,38.81457906,38.14599276,44.28149353,54.4055355,53.75766339,51.38484114,49.37991186,52.74400387,64.79333113,61.82757231,60.10828701,58.7352926,57.41795552,55.88251962
Kyrgyz Republic,no data,no data,no data,no data,no data,37.87681911,28.61310843,31.14530966,35.92928107,35.8744434,30.21516083,28.08823539,29.34976899,28.07740699,28.45703212,29.066125,29.12956448,29.59542597,27.88414886,32.54145343,37.10699676,37.36743036,40.5838638,38.14707041,38.50805685,38.08371241,38.923045,37.02014382,33.05969426,34.18419921,39.04502271,36.90883199,34.77335414,35.09430978,35.70183231,36.22142321
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.89080547,18.84565593,16.61958767,16.03925942,13.57004786,15.33288346,14.71802735,15.10845404,16.05416226,20.103202,22.40206444,20.189363,24.7190637,24.23963911,24.98701952,25.78227797,21.08461037,21.56328153,20.90735367,20.38042442,18.25598272,19.51079523,19.72516626,19.84167856,19.54165595,19.461327
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,37.1783231,39.38506106,36.23565972,34.41643701,34.32240981,33.00242911,33.51939872,34.53610618,33.88456126,33.10224229,36.55218544,42.6566331,42.95397688,38.79604222,37.11070696,37.24051302,37.75229239,37.61632711,36.55558939,36.74238024,38.19523998,37.83660884,44.27980762,43.24580694,44.45403467,44.26049076,41.56389602,38.8935397
Libya,30.95602799,28.35505594,26.46973466,31.18496302,29.4444085,28.54688477,31.74510948,35.42381397,33.91133835,27.82098934,27.62716526,38.16446699,42.18468739,43.0574944,42.37236675,29.05454465,31.15450181,33.69913883,48.18619198,72.14267544,57.85671053,59.65112034,45.69184952,88.08777714,143.1051796,181.9494036,144.883307,95.87059402,85.84252378,101.7605516,164.9863653,106.5729041,97.33154312,92.02801911,87.93108366,83.57786095
Lithuania,no data,no data,no data,no data,no data,33.09817259,32.07328017,32.59487498,36.81376803,39.46582574,35.86507231,35.03699318,33.16872305,32.06472597,33.19629995,33.42400599,33.73403508,34.44711615,37.03687321,43.64966839,41.31591654,41.55939749,35.23367298,34.68991344,34.04916705,34.42090146,33.2951948,32.40720807,33.33546893,34.10519317,39.87154145,38.68060195,37.7498151,35.5101844,34.7983415,34.41842088
Luxembourg,no data,no data,no data,no data,no data,42.19645827,42.46035447,43.99649588,43.74154831,41.60667761,37.88589775,38.33838129,41.65939421,43.41754557,44.09693759,43.85720137,39.84199146,37.90063154,39.875159,45.0964802,44.23064478,42.55199863,44.13641609,43.58455467,42.24496431,41.90524298,40.92900677,42.15988256,42.2910724,42.63283598,51.51358794,45.91717156,45.2516745,44.24805011,44.21195704,44.24452033
Madagascar,13.34573643,13.48314876,16.18722109,17.07601286,16.69619858,14.4990893,14.39574551,14.45322936,16.93307359,15.47755458,15.34681293,15.31006781,12.44252137,16.56362905,21.70102948,18.35319265,18.47382833,16.08651443,15.71115384,12.5084011,12.28051546,12.04104337,11.51575067,12.70209081,12.55474915,13.02915712,13.54556502,14.94237681,14.25716354,15.34003454,18.0133919,16.84916953,17.22191982,17.10525713,16.93134419,16.5820822
Malaysia,30.52454428,27.3931833,28.20939358,24.61355529,23.26969871,22.59751301,22.39060894,21.15511186,23.11355311,24.64252134,25.6321232,28.22333505,27.14407224,28.06908648,25.88446297,24.53770213,25.57428779,25.88867659,26.92001252,30.88918582,26.60447171,27.08781554,28.50543052,27.78010348,25.956967,24.7081397,22.69768948,21.9318699,22.72258119,23.87182571,26.78373508,23.91341585,22.93427312,22.89002556,22.52022915,22.45867354
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.39179826,18.34234877,19.93936289,20.81408491,21.75883525,21.63461177,22.07144652,21.48971263,18.87542286,22.81351598,20.26119959,20.56173672,15.53109396,19.75916447,20.01765205,20.93858004,22.2428144,22.92139054,20.42804807,23.09151443,26.47412964,26.07013036,25.00530059,25.25463212,24.77350191,24.85378156
