Net lending/borrowing (also referred as overall balance) (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,3.185425685,3.801042068,0.751453045,-5.915993962,-1.864595939,0.586636342,3.912373541,2.930436659,-3.576341021,-1.89458923,9.701394446,3.739585058,1.163836561,4.875635436,5.25924119,13.63119545,13.96073679,6.597717279,9.616348354,-5.807077979,-0.03846871,-0.104373158,-4.434618991,-0.399960355,-7.300076617,-15.26741423,-13.05147134,-6.647062307,-4.468083321,-5.637875422,-11.48734916,-11.37601106,-9.194073361,-9.461115527,-9.221874127,-8.590837151
"Korea, Republic of",no data,no data,no data,no data,no data,2.235069236,2.3779115,2.393903489,1.130435017,1.187209296,4.04960052,2.507869282,3.34599568,1.563930596,0.089544783,0.823063148,1.032556137,2.07497016,1.457175802,0.016879112,1.466794701,1.622327273,1.49005497,0.618971959,0.397084576,0.521646175,1.645929309,2.188104896,2.563017051,0.37284271,-3.234657409,-2.329830307,-2.659047873,-2.688292222,-2.539318267,-2.539318267
Kuwait,-31.98309551,-151.3092102,-49.5784742,-15.74735142,-9.137834755,-1.856684928,11.60661284,17.16600179,6.87881344,15.15433654,31.61395897,28.67138936,19.33535798,17.30812284,22.21186677,43.30384488,31.89476492,37.41125072,20.16402332,27.51296102,25.96242005,33.28149059,32.42760018,34.11377977,22.36400029,5.593411959,0.302033103,6.266075248,9.044989453,5.380988076,-8.492280259,-10.6920606,-7.163578825,-5.176609302,-4.185900358,-3.366370828
Kyrgyz Republic,no data,no data,no data,no data,no data,-13.51701149,-9.095616879,-9.304490651,-11.96466933,-13.52278393,-10.69669466,-6.747459221,-5.900032633,-5.1693277,-4.891663885,-3.789101182,-2.095369146,1.276876611,1.924070328,0.377512204,-5.946895222,-4.70461583,-5.861999576,-3.699422342,-3.068269881,-2.516820407,-5.79019542,-3.732926298,-0.590098958,-0.139177411,-7.28200586,-5.455208866,-2.999576421,-2.999581721,-2.999533246,-2.999582006
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-3.575557095,-3.682978912,-2.84963731,-3.885364168,-1.810420158,-2.541263726,-1.481897626,-1.123091609,-1.857968543,-3.095611839,-1.46913684,-1.429071373,-2.343219608,-4.030674231,-3.132231383,-5.570364601,-5.060118303,-5.489469166,-4.663214939,-5.015736305,-6.423087212,-5.729587507,-4.95576702,-4.440078862,-3.795731034,-3.677998792
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,-0.642413705,-3.450186279,-2.509553484,-1.991208326,-2.511863584,-1.597142318,-0.997483784,-1.025790578,-0.458924734,0.596776767,-3.145891157,-6.983326227,-6.469931941,-3.184649573,0.175013806,-0.559569227,-1.679630015,-1.529113583,-0.399849701,-0.827203231,-0.740378444,-0.383128182,-5.431201019,-3.257230336,-1.373787336,-0.830927236,-0.722800539,-0.812558831
Libya,3.462776071,8.682763739,0.109828818,-5.958867929,-2.752523274,3.918742602,11.68153493,-2.172103915,-2.438425501,5.874506244,14.0769253,0.069042123,7.215356957,6.363470207,11.67475405,31.35546307,31.80687234,28.58098021,32.50206406,-6.53411762,12.53399402,-17.23662631,28.55622233,-5.108009164,-73.81037219,-130.7958341,-113.1803885,-43.46394813,-0.194252024,2.192646688,-102.937721,-43.22320402,-33.21635167,-29.38281045,-29.88135878,-28.4298756
Lithuania,no data,no data,no data,no data,no data,-4.026633633,-4.244809966,-1.70475732,-5.59576773,-8.282333757,-3.98026584,-3.616960138,-1.793871961,-1.26544995,-1.532122262,-0.504435242,-0.446592548,-0.998290802,-3.265734502,-9.328661786,-6.918585906,-8.95527348,-3.148478132,-2.618708031,-0.664937282,-0.207921376,0.259170603,0.454230375,0.600471894,0.26696784,-6.715363807,-3.803142686,-1.435575273,-0.231821885,-0.239657428,0.045307178
Luxembourg,no data,no data,no data,no data,no data,2.695634317,2.324127023,2.645244999,2.972374657,3.229116323,5.528763871,5.682735992,2.021940888,0.259662896,-1.405738218,-0.214111371,1.926154228,4.407350426,3.528856367,-0.245020486,-0.391509739,0.634316083,0.481273845,0.820008817,1.300567593,1.292979269,1.813105097,1.300731155,3.083104786,2.145276094,-6.980298288,-1.694756873,-1.206654403,-0.271902278,-0.056633677,0.001118232
Madagascar,-0.494167309,-4.398129484,-5.003861736,-6.33821748,-7.232908359,-5.087550777,-3.970637581,-1.997251403,-5.307739179,-2.420563572,-2.35253754,-3.614406154,-4.092046062,-3.321644201,-4.232413882,-2.474755887,-3.029672814,-2.307582103,-1.723202612,-2.261323331,-0.760375833,-2.043157171,-2.237311654,-3.402964519,-1.960686063,-2.850272851,-1.107233859,-2.102886554,-1.329076274,-1.418797456,-5.520191499,-5.338910557,-5.162266962,-4.840795232,-4.448715389,-3.979113726
Malaysia,0.149006252,1.601570994,1.80547431,3.439744485,5.448558356,3.102752362,3.269790264,4.840118079,-0.627248857,-3.002698643,-6.052531378,-4.360678479,-3.959800368,-4.596958967,-3.35346367,-2.832840099,-2.601963366,-2.57083038,-3.404737749,-5.879790486,-4.319070489,-3.567623431,-3.102877242,-3.478227832,-2.62843747,-2.545870347,-2.602892821,-2.411756295,-3.306807817,-3.694462409,-6.532189964,-4.672712751,-3.597374232,-3.567552828,-3.177543772,-3.143867701
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-2.642545499,-2.798265618,-3.094188867,-1.187494832,-2.359850541,-2.764112925,27.78299183,-2.784249125,-1.976787138,-3.716855482,-2.567534579,-3.416808715,-0.956306003,-2.371998742,-2.886447098,-1.821700478,-3.942313696,-2.861651794,-4.770234983,-1.679794868,-6.2,-4.5,-3.5,-3.5,-3,-3
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-5.804955424,-6.49114747,-5.647092589,-9.08820889,-4.38153106,-2.608904816,-2.50971543,-2.134612904,-4.12986034,-3.17589946,-2.316674599,-2.378477422,-3.393324154,-2.334994263,-1.69807166,-1.042342931,0.935628476,3.241192498,1.898171391,0.530244671,-9.395296189,-3.870130052,-2.621338245,-2.681347798,-2.912267566,-2.6120361
Mexico,-3.295164066,1.580155469,2.393153801,-1.603235986,-2.365070307,-2.4049466,-3.843877311,-3.63633337,-4.755545774,-4.721342042,-2.814772249,-2.706675653,-2.290238431,-2.355481126,-1.410305664,-1.49938925,-1.282297332,-1.527124003,-0.712951316,-4.125045437,-3.975055986,-3.335840311,-3.726329406,-3.707050792,-4.534639653,-3.995195071,-2.765296443,-1.063277068,-2.197873664,-2.348649755,-5.8,-3.4,-2.6,-2.5,-2.5,-2.5
Moldova,no data,no data,no data,no data,no data,-2.583014839,-7.42327153,-7.470582793,-1.521632104,-2.639090816,-3.546063797,-0.344750246,-1.178997491,0.469967723,0.592848783,1.440722637,-0.418723607,0.148232521,-0.870607993,-6.382820742,-2.178254279,-2.049645065,-1.930739998,-1.565176163,-1.585012059,-1.942798789,-1.546563908,-0.639923024,-0.848874383,-1.438703767,-8.002173221,-4.299497693,-2.994167168,-2.563041595,-2.411981198,-2.411981198
Mongolia,-8.01350114,-5.446194398,-6.932093531,-11.41436369,-8.330095484,-4.250287704,-5.888656331,-6.924197871,-10.55476539,-8.476684765,-4.980202315,-3.696275062,-4.047565821,-2.894600249,-1.389614878,2.434672847,7.584876059,2.638636392,-4.521413161,-5.19880082,0.425427465,-4.013807862,-6.243683945,-0.927077623,-3.725394185,-4.987286218,-15.28759891,-3.783672655,2.969138134,0.926411721,-11.47695351,-4.870184506,-4.082435326,-3.293812997,-3.271182523,-3.132134552
Morocco,-1.433145614,-0.970024612,-1.995969005,-2.16558227,-2.717551033,-2.747989149,0.938858423,1.621947509,1.591024575,3.469156326,-2.13554391,-4.101552088,-4.727871244,-4.052805076,-3.585775717,-5.903622979,-1.948366328,-0.125774634,0.677363559,-1.763163193,-4.255551826,-6.574812121,-7.176977665,-5.088298217,-4.848407566,-4.170516727,-4.483973514,-3.493079896,-3.736125805,-4.127249686,-7.79176126,-6.015037299,-4.464189249,-3.844649909,-3.085247907,-2.533015006
Mozambique,-4.416018221,-2.088883825,-1.919805582,-2.61214792,-4.155241812,-2.542285093,-2.006637249,-1.771418683,-1.063193591,-0.335063401,-1.345272019,-4.717454074,-3.560332015,-2.774347028,-3.313279622,-2.144803366,-3.153150603,-2.272396879,-1.947086807,-4.479363938,-3.503134409,-4.407616024,-3.616077257,-2.58857705,-10.26184504,-6.660682449,-5.482624518,-2.923381673,-6.845086817,-0.149602114,-7.060710294,-5.265086683,-3.433145225,-1.497304507,-1.023701404,-0.713236498
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,-4.622900532,-4.212561832,-5.582052414,-5.830279334,-3.724490867,-3.918043545,-4.25465022,-3.2544523,-3.209235599,-3.295766863,-2.579214272,-3.309889667,-4.960256178,-4.429778982,-2.651441533,-1.717432423,-1.315294769,-2.783192624,-3.867961198,-2.857958975,-3.402397295,-3.915735313,-6.016403073,-6.45347002,-5.579531657,-4.950646337,-4.711723938,-4.17936057
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-1.688982382,-2.684784875,-2.810845908,-0.385748622,-0.164074411,0.279405381,0.268424303,-0.765776256,-0.331838455,-2.552142277,-0.766435568,-0.817550689,-1.342187211,1.810077227,1.531011327,0.656744023,1.351962048,-3.093908312,-6.651135241,-4.561490034,-7.928401246,-6.730031147,-4.72582668,-4.398663735,-4.137625768,-4.043775703
Netherlands,-4.08309537,-2.055636862,-3.126565697,-3.139122005,-3.539703624,-8.731683189,-1.822850925,-1.582729524,-1.353808697,0.253421669,1.165468676,-0.475636101,-2.129158294,-3.142294417,-1.825289163,-0.39645442,0.099393375,-0.091897217,0.201329423,-5.086245803,-5.246195558,-4.426939583,-3.918427606,-2.928703046,-2.152004289,-2.024614207,0.020894009,1.2601843,1.492660729,1.662628803,-8.756912266,-4.903167924,-1.991520602,-1.116714162,-0.422747676,0.23312501
New Zealand,-2.762974199,-6.173813082,-6.298670587,-1.555630432,1.965570138,3.669880321,2.549531459,1.208740383,-0.504845435,-1.140178718,0.144959928,1.26158068,2.526050958,3.654916853,4.467462003,5.105889533,4.591862351,3.568282203,1.444586273,-1.840971712,-5.400221339,-4.909528926,-2.201746955,-1.296758542,-0.43964313,0.316496062,1.023408856,1.287796702,1.428019745,-2.946092894,-9.247950936,-8.721287299,-5.730576642,-3.774272997,-2.22264707,-1.381879916
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.094630345,0.28508935,2.014781229,1.238227126,1.664438922,1.686866131,1.009283601,1.303952994,-0.422148027,-1.483188494,-0.129158975,-0.059152709,-0.14968831,-0.710709796,-1.270881633,-1.441587326,-1.699741653,-1.576352911,-2.983194701,-0.450612302,-4.272329309,-3.006535717,-0.960844417,-1.037165067,-2.182827162,-2.711352648
Niger,no data,no data,no data,no data,no data,-3.176745733,-0.35916423,-2.378834246,-2.2244929,-4.260080341,-2.819048162,-2.580375971,-2.206910928,-2.16769329,-2.754227097,-1.522980005,30.95612399,-0.744615765,1.108066113,-3.915901871,-0.982731466,-2.189399477,-0.828344327,-1.92878951,-6.10453222,-6.74624365,-4.462780701,-4.115071116,-2.999005041,-3.559473748,-4.823021001,-4.738798208,-3.16528451,-2.477847058,-2.521302524,-2.452622165
Nigeria,-0.671176415,-1.662685198,1.326477091,-8.554766999,-4.165606738,3.550315156,4.748212483,1.599203981,-4.892000471,-1.95844854,4.065055724,-3.221992192,1.342477322,-2.195152295,5.488352319,4.90767945,8.759047318,-1.116384672,5.696888121,-5.325943344,-4.171340307,0.431870795,0.346283752,-2.236676287,-2.038719837,-3.164689497,-4.012719934,-5.39972912,-4.306347711,-4.7565371,-6.739285481,-4.972266219,-5.091638001,-4.423276782,-4.526231421,-4.587732815
Norway,1.954306844,-0.118882445,-2.065565195,-1.643094446,0.041252456,2.961094771,6.007766543,7.352170523,3.066914658,5.718314222,15.06484511,13.20765452,9.040656594,7.21152333,10.85635607,14.76366429,17.93764969,17.09533724,18.63275965,10.2394048,10.92272019,13.34841799,13.76254068,10.66825474,8.622987544,6.022368448,4.055584175,4.998510036,7.2227446,7.778150904,-1.785540708,2.044278426,4.090785815,5.014884642,5.559317406,6.188101652
Oman,5.475417863,0.133255366,-5.559660812,-7.835942379,-8.557175068,-4.470049556,2.542619295,5.470941785,-5.009779545,0.346682163,13.87570662,8.613198442,6.084632426,6.7678813,6.222722079,12.80515884,13.98794212,12.03819464,16.79723032,-0.310174628,5.634421544,9.387001243,4.647168249,4.677535108,-1.079853429,-15.94333101,-21.30887744,-13.95938095,-7.893316937,-7.06175951,-18.7073027,-16.82437943,-10.88380509,-9.980222887,-9.178345517,-8.434167947
Pakistan,no data,no data,no data,-6.897557599,-4.52704343,-4.864803128,-5.408752701,-4.824587389,-5.569636725,-3.830270866,-4.009391436,-3.059927898,-3.313423367,-0.147633917,-1.616841835,-2.814233268,-3.285768534,-5.116785172,-7.059466964,-5.047740832,-6.012626895,-6.729992274,-8.630878208,-8.368800612,-4.852154379,-5.253838203,-4.415687184,-5.759393372,-6.422849558,-8.98421771,-8.011291001,-6.710273511,-5.152040001,-3.99086696,-3.483958725,-3.150350022
Papua New Guinea,-2.035210175,-0.622997313,-4.332955731,-4.904576711,-1.00921829,1.077478842,2.05453547,0.672905271,-0.164736521,-1.936498923,0.303521225,-1.329111155,-1.749991285,0.187883002,2.025059805,2.849152348,5.337371913,6.899333849,2.734141083,-5.482534833,3.062360766,2.215389454,-1.189962176,-6.869744309,-6.265024183,-4.549699417,-4.746228317,-2.47470941,-2.587121448,-4.963902521,-6.265670886,-5.35202645,-4.479966393,-4.139729854,-3.683030379,-3.384949061
Peru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-2.115749849,-2.153764492,-1.403800951,-1.622006561,-1.032734878,-0.435681849,2.02912779,3.348358349,2.679829446,-1.388687831,0.122106823,2.011857978,2.0517802,0.735140082,-0.228065723,-2.124992129,-2.253786258,-2.934970883,-2.001012179,-1.365615006,-9.408163974,-4.30926836,-3.23029458,-2.580804898,-2.047621683,-1.69767775
Philippines,-1.505651329,-0.258926753,-0.429793722,0.622953871,-0.441070259,-0.015911307,0.533355997,0.364941248,-1.302317721,-2.276246764,-3.273769477,-3.494121809,-3.706824254,-3.491060452,-2.807019248,-1.624638178,-0.046357841,-0.284924301,0.016475724,-2.568889507,-2.253638815,-0.304079353,-0.29399883,0.187422363,0.826417643,0.585938333,-0.353222391,-0.371970855,-1.552480186,-1.780809383,-8.063163203,-7.307350338,-6.269790575,-6.212712362,-6.209939182,-6.060124937
Poland,no data,no data,no data,no data,no data,-4.414393015,-4.865023277,-4.63107399,-4.275772801,-2.311381374,-2.981482526,-4.785894368,-4.845742156,-6.077098578,-5.043921533,-3.961814618,-3.557361724,-1.852922951,-3.600188824,-7.252678125,-7.396815203,-4.879552833,-3.741590284,-4.181917327,-3.64616404,-2.615841451,-2.372878897,-1.467865429,-0.232640778,-0.740206091,-10.46387853,-4.336758178,-3.172056414,-3.923766999,-3.847618292,-3.830419469
Portugal,-6.921870641,-8.03640785,-5.305873018,-8.165886675,-7.46772535,-5.241844756,-4.749573669,-3.707100488,-4.273798555,-2.987588135,-3.397991191,-4.783155957,-3.78190486,-5.615678051,-5.969340853,-6.106434012,-4.086881783,-2.935813265,-3.699584652,-9.872561589,-11.39839197,-7.663219876,-6.179761681,-5.104507946,-7.309121388,-4.346235001,-1.935023256,-2.956013683,-0.442476633,0.190230717,-8.351069595,-2.711283024,-1.560670795,-0.708523031,-2.260203886,-1.786984021
Qatar,3.226321144,-2.569254883,-2.736188336,-9.527796864,-11.80037732,-5.778996823,-8.728482968,-9.403828544,-7.00064473,-4.352842522,4.621880259,4.480566346,7.890903742,6.710575951,18.31647374,10.62580033,9.253858429,11.16837101,10.2718417,16.13574162,7.086019137,7.327261726,10.52525815,21.55934531,15.40426287,21.7128568,-4.81856885,-2.488033925,5.922438279,4.927388971,3.028858939,3.332071483,6.492797629,7.420496941,8.708413836,10.1154537
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,-7.42350776,-3.586600528,3.107075867,2.991244534,0.672593623,1.350124439,4.57475069,7.596959645,7.803539032,5.585366969,4.5494902,-5.888910069,-3.193876296,1.431818865,0.382340506,-1.162177877,-1.069955791,-3.386425437,-3.670081601,-1.468925954,2.901867216,1.921939155,-5.284872277,-2.57396741,-0.997122254,-1.02955654,-1.003090713,-0.546264006
Rwanda,no data,no data,-8.549044387,-7.831243424,-11.32170649,-2.420604588,-5.937815527,-2.634245935,-3.07284749,-5.234706434,-0.260414263,-2.114487871,-2.367202008,-1.427573011,2.58753068,1.277366914,-0.028917915,-1.550127585,0.822468957,0.258182942,-0.636022315,-0.856973535,-2.370681284,-1.264318389,-3.900358956,-2.668572558,-2.25952923,-2.516651162,-2.575334791,-5.192619558,-7.715834147,-7.05001182,-4.114746457,-3.509292697,-3.890421936,-3.703284638
Saudi Arabia,no data,-3.281244525,-8.121051674,-9.326964648,-8.311637825,-5.122763095,-3.246769184,-2.505737733,-8.875224296,-5.99137324,3.184129145,-3.905922395,-5.906988551,1.198598198,9.71788156,17.98693164,20.82287441,11.78360187,29.8019056,-5.383449023,4.391630004,11.55399966,11.93297628,5.638504695,-3.541991719,-15.83843806,-17.20347219,-9.236122155,-5.870572371,-4.452477073,-10.56392043,-5.964604535,-4.037947866,-2.868461134,-1.626002526,-0.401862898
Senegal,no data,no data,no data,no data,5.708183287,2.348440803,0.905299388,0.972208787,0.928940197,-0.622868312,0.788395262,-1.517749638,0.196952249,-0.520086861,0.182451006,-0.262599063,-3.615586269,-2.737063179,-3.496986198,-3.625166582,-3.911081087,-4.90028368,-4.146118768,-4.324716266,-3.386812365,-3.663397441,-3.27210404,-2.968032331,-3.643554693,-3.82464206,-6.23375267,-4.484675268,-2.970324822,-2.977994471,-2.999682363,-2.980794776
Singapore,1.965814016,0.681668507,2.701406574,4.356950718,7.904685911,4.803523194,1.982856985,5.663036098,2.413933157,5.203832731,4.592846764,1.196592559,2.232090069,0.678051636,2.059766049,2.555514611,2.159889319,7.120218448,3.589224189,-0.09373346,5.685498484,7.96190982,7.33677274,5.962163662,4.599847214,2.863210298,3.656912747,5.34118582,3.716766321,3.840284867,-10.77342596,1.16488363,2.367652801,2.504390331,2.618029495,2.613695939
Slovak Republic,no data,no data,no data,no data,no data,-3.473360448,-9.815775499,-6.266330282,-5.297117442,-7.172994304,-12.63095723,-7.220613697,-8.220598242,-3.120087947,-2.316389931,-2.874284945,-3.578512954,-2.05039952,-2.523385197,-8.14938935,-7.455990272,-4.455840392,-4.36708499,-2.869611997,-3.109800317,-2.672076351,-2.476113146,-0.952423771,-1.049707664,-1.295249503,-8.838585155,-4.591642551,-3.826675802,-2.916128169,-2.688728643,-2.544440469
Slovenia,no data,no data,no data,no data,no data,-8.147110067,-1.095716744,-2.306941784,-2.326111596,-2.971567227,-3.645023895,-4.450602193,-2.374238808,-2.594745699,-1.941132611,-1.324123434,-1.231001929,-0.049039873,-1.393777834,-5.813007345,-5.599784402,-6.629230462,-3.99467083,-14.57852709,-5.507210178,-2.847428486,-1.934767853,-0.048153981,0.720580136,0.542425417,-8.819925126,-2.809538429,-0.767404851,-0.220904351,-0.036081,0.143972492
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-1.538852566,-1.131747336,-1.071033093,-1.785391903,-1.168230183,-0.115329187,0.911489131,1.355834395,-0.535420152,-5.202270775,-5.026295181,-4.076716548,-4.425801537,-4.267668745,-4.263063401,-4.774586852,-4.06723149,-4.379609738,-4.144318137,-6.253952813,-14.04324023,-11.14071072,-7.865604931,-5.621532797,-4.245300853,-3.075510032
Spain,-3.905180059,-4.584653708,-4.269929251,-6.89839034,-6.322850298,-6.80183734,-5.888375551,-3.866533741,-2.631692888,-1.238329325,-1.16076073,-0.454926083,-0.316722522,-0.375062635,-0.095178588,1.231564543,2.124079644,1.88621705,-4.572251048,-11.27591944,-9.526628377,-9.739575451,-10.73572955,-7.035932839,-5.915373422,-5.176922577,-4.305196438,-3.024241788,-2.536614337,-2.826156259,-14.092212,-7.51234321,-5.840991564,-4.732578312,-3.928992847,-4.372810098
Sri Lanka,-6.603734071,-8.241035999,-5.11819426,-5.969015138,-7.654956361,-7.349573635,-7.124405304,-5.902672395,-7.014124789,-5.772005134,-8.039779604,-8.76587081,-7.136968964,-6.359469097,-6.535800554,-6.133071954,-6.112424215,-6.003815506,-6.129922412,-8.608197091,-6.954132955,-6.235896799,-5.599382442,-5.185399481,-6.231145555,-7.012643393,-5.337791899,-5.503363832,-5.295582902,-8.181079717,-9.628885327,-8.09300937,-7.640206823,-7.725535815,-7.529169957,-7.391809032
Sudan,-16.20748934,-26.47715974,-24.51715076,-8.042200486,-3.032347236,-3.480034403,-2.610483092,-0.590306825,-0.561008989,-0.799562008,-0.69807111,-0.766880761,-0.685290221,0.768410924,0.156031096,-1.875672021,-1.323350301,-2.841968725,0.491470457,-3.795780858,0.110568158,-2.326719469,-7.366593852,-5.759499899,-4.717110377,-3.823910618,-4.562327214,-6.454332077,-7.924040001,-10.88478695,-6.831422276,-4.250207906,-2.621374609,-2.418140185,-1.987892494,-1.554964735
Sweden,3.707465734,0.305510724,-8.457138966,-10.82439357,-8.729767966,-6.973142582,-3.091031949,-1.54972307,0.845833885,0.633121572,3.14697874,1.412292295,-1.421756078,-1.234339578,0.351636672,1.834235445,2.233965944,3.335052065,1.907595949,-0.710859409,-0.045976291,-0.229109916,-1.008739847,-1.395934937,-1.525798138,-0.002487988,0.991861665,1.431516851,0.813784379,0.403580306,-5.899341215,-1.966864732,-1.51625995,0.296863763,0.283935778,0.315049833
Switzerland,-0.047211496,-1.902017309,-3.05005072,-3.238268491,-2.668866395,-1.913635699,-2.07491655,-2.400236315,-1.343479463,-1.615874169,0.289252401,0.213453587,-1.792166675,-1.393516575,-1.427707694,-0.66103484,0.867103741,1.610297727,1.980548584,0.509149404,0.36349566,0.699258065,0.241755187,-0.443564455,-0.253055468,0.557048873,0.244068059,1.155611414,1.318735644,1.474325901,-4.208118192,-1.419890907,-0.615824915,-0.250945882,-0.050945882,0.049054118
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,-4.745749415,-4.03175014,-5.554753176,-3.18848011,-2.441323133,-1.762024288,-2.368758614,-2.898959988,1.705167011,-5.533871224,-5.061223837,-5.229057329,-2.97868327,-2.14166638,0.589504209,-0.901501823,-0.126173413,-1.972164486,-9.031854513,-5.964997936,-2.780653281,-2.099376548,-5.998675279,-4.443109989,-2.565500756,-2.500008474,-2.506894489,-2.500889393
Tanzania,no data,0.604511181,-4.958785044,-2.023239438,-3.737071552,-2.117470592,1.570933934,-0.026471672,0.132649965,-1.138976744,-0.730489235,-0.414088584,-0.726687209,-1.774952997,-2.433816886,-3.276093708,-3.384862935,-1.444448973,-1.919497985,-4.418157657,-4.700469083,-3.513895779,-4.060165285,-3.809762924,-2.911427175,-3.168578522,-2.083237982,-1.158023831,-1.931632916,-1.716202612,-1.859820768,-2.780704277,-2.706593187,-2.498486909,-2.396550104,-2.225419539
Thailand,no data,no data,no data,no data,no data,3.054326747,2.749301283,-1.680828895,-6.292091253,-9.017192244,-1.792068001,-1.768093556,-6.722498641,1.978324178,1.105924705,2.17304018,1.866659795,0.219944574,0.801032877,-2.213973862,-1.069704512,0.094141532,-0.860479551,0.515540594,-0.800923002,0.132379482,0.569331943,-0.424927448,0.064084981,-0.81618059,-5.210684039,-4.921339312,-1.744707136,-1.924994973,-1.917763598,-1.892061806
Turkey,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-8.369958562,-11.66831799,-11.3393584,-7.571834758,-4.121585639,-0.74895477,-0.685448109,-1.926481724,-2.639953132,-5.839281542,-3.401589102,-0.68169647,-1.817412268,-1.458263056,-1.422647354,-1.258540182,-2.337884364,-2.182604204,-3.653836931,-5.648127609,-7.87802356,-7.928725757,-8.093177114,-7.678335785,-7.384179572,-7.424666042
Uganda,no data,no data,no data,no data,no data,no data,no data,-0.82914947,-0.704580448,-1.23720658,-0.623678685,-0.993817731,-2.068174876,-0.96912042,0.342505422,-0.16996894,-0.637013441,-0.815082587,-1.994766341,-1.609836154,-4.644662136,-2.042710281,-2.385337726,-3.190482822,-2.740455131,-2.550015241,-3.564368164,-2.747595564,-2.735129038,-5.015195154,-6.551615767,-6.946210933,-6.963468881,-6.985538195,-5.677015844,-4.961382065
Ukraine,no data,no data,no data,no data,no data,-4.72142058,-3.093274027,-5.373913832,-2.687960264,4.954458362,-3.186267271,-3.031377244,-1.84119974,-0.893075984,-4.414977932,-2.276962102,-1.364704915,-1.967389628,-3.138849767,-6.271518025,-5.772013794,-2.76155758,-4.307064511,-4.784336315,-4.459976275,-1.159825106,-2.228727628,-2.190798049,-2.149744766,-2.042122485,-7.81,-5.25,-3.5,-2.4,-2.4,-2.4
United Arab Emirates,no data,3.849477211,3.320871641,-2.815853365,-1.781910771,3.571049414,0.940779063,6.796592812,1.021849176,1.330557806,10.56730307,1.205323596,-1.237840424,2.351606238,6.399659328,15.98705496,20.15003593,17.12373086,17.63733116,-6.126623158,0.550781008,5.315724187,9.005543246,8.394936711,1.911034895,-3.363278172,-2.819397859,-1.950218325,1.92871721,-0.763110023,-9.899105513,-5.05159238,-3.707484221,-2.906826632,-2.527320952,-2.216847423
United Kingdom,-1.391806134,-2.651790068,-5.461830018,-6.676261761,-5.747471491,-4.97469894,-3.547002188,-1.996354036,-0.328089324,0.626988187,1.360012121,0.21386986,-1.872835652,-3.132229269,-3.070914336,-3.148307567,-2.770178511,-2.657663471,-5.145632106,-10.08218088,-9.279585499,-7.507779622,-7.639459914,-5.526205187,-5.557086197,-4.591276731,-3.347769306,-2.45150403,-2.263904745,-2.204424007,-16.46343145,-9.193219953,-7.081112397,-5.773792627,-5.106899958,-4.446460481
United States,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-0.536768469,-3.811844794,-4.763547662,-4.23837527,-3.068892447,-2.029373996,-2.910243826,-6.630047934,-13.19684855,-11.02441694,-9.703224042,-8.028126727,-4.56396358,-4.057772244,-3.555532588,-4.364096217,-4.591435541,-5.786386246,-6.349296934,-18.71772878,-8.672604021,-6.489060206,-5.552237985,-5.405676067,-5.497479069
Uruguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,-3.012186922,-3.009152679,-3.111705015,-3.476372388,-2.393224195,-0.947073129,-0.300823137,-0.701378655,-0.17100839,-1.424153749,-1.520491225,-0.422520279,-0.364157376,-2.370419816,-1.878622529,-2.836202581,-2.025829589,-2.902521635,-2.704772052,-2.025297585,-3.004186366,-5.768929948,-4.018071959,-3.574428091,-3.128518982,-2.806805617,-2.709141062
Uzbekistan,no data,no data,7.34216425,-12.22770643,-4.576001814,-1.810455706,-1.664227399,-2.171218017,-3.220465048,-3.080230489,-3.875061334,-3.473917387,-6.691234869,-5.162587161,-3.964310701,-3.731083031,2.884551488,3.766072823,6.327200344,1.927152303,2.730810106,5.440980555,6.24491205,2.312358412,2.0514632,-0.254890163,0.80947904,1.288387165,1.742951528,-0.25735484,-4.137857183,-2.685139303,-1.802512362,-1.046014573,-0.663840175,-0.616724393
