Net lending/borrowing (also referred as overall balance) (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,3.185425685,3.801042068,0.751453045,-5.915993962,-1.864595939,0.586636342,3.912373541,2.930436659,-3.576341021,-1.89458923,9.701394446,3.739585058,1.163836561,4.875635436,5.25924119,13.63119545,13.96073679,6.597717279,9.616348354,-5.807077979,-0.03846871,-0.104373158,-4.434618991,-0.399960355,-7.300076617,-15.26741423,-13.05147134,-6.647062307,-4.468083321,-5.637875422,-11.48734916,-11.37601106,-9.194073361,-9.461115527,-9.221874127,-8.590837151
Burkina Faso,-7.535957507,-2.771556458,-2.509119285,-3.810411981,-1.88707663,-2.645588122,-1.666069792,-2.642848881,-2.597693741,-3.286904208,-3.027830265,-3.557443584,-4.432617637,-1.789912827,-4.194054415,-4.889532822,14.34567379,-5.014919427,-3.62731448,-4.160443428,-4.058343741,-2.039418509,-2.76326957,-3.547978636,-1.737416156,-2.089716888,-3.084871826,-6.884186411,-4.354771894,-3.468315423,-6.084730806,-4.6,-4,-3.5,-3,-3
Cambodia,no data,no data,no data,no data,no data,no data,-7.535788245,-3.723821425,-5.357758978,-3.802439323,-4.815447139,-5.14641412,-6.381041058,-6.168518824,-3.56151363,-0.384228826,-0.172371031,0.726747535,0.503094496,-4.781076888,-3.79540501,-4.694837914,-4.524739141,-2.616319114,-1.642672921,-0.646041446,-0.299682118,-0.775090482,0.676446377,3.213773689,-2.401824535,-2.386807652,-3.199687169,-3.858239776,-4.454165941,-4.33403939
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.614426938,0.908901616,1.608058443,0.613555727,-0.491390677,3.292490638,30.45265637,4.139012492,2.090429521,-0.043528538,-0.980051223,-2.354505362,-1.446431669,-3.705266412,-4.250527119,-4.421641287,-6.09203861,-4.87174496,-2.487624592,-3.311318315,-4.12458148,-3.272641239,-2.606014829,-1.952246195,-1.666431361,-1.361636167
Canada,-5.911422126,-8.359398267,-9.199149263,-8.934764945,-6.935977535,-5.489640113,-3.05256596,0.038702165,0.142682776,1.655576247,2.639703961,0.529468967,-0.233895789,-0.126957865,0.767669538,1.553120098,1.827604363,1.819655807,0.184425129,-3.881351769,-4.737558582,-3.308732553,-2.524517007,-1.494705998,0.17489616,-0.061845591,-0.453164226,-0.126102993,-0.396698347,-0.346372508,-19.92379747,-8.71926743,-5.385423416,-2.985081891,-1.433983817,-0.272421437
Chad,no data,no data,no data,no data,no data,-4.052345458,-3.711053574,-3.34565104,-2.244788511,-5.278590444,-6.072750732,-4.585337024,-5.291648389,-5.597937356,-2.386961211,-0.068460743,2.219644466,2.524757568,3.614315932,-9.203228787,-4.151880108,2.390733779,0.473324109,-2.06506775,-4.18235925,-4.380174613,-1.936609121,-0.23144412,1.936004309,-0.172047325,-0.638830013,-1.226648701,0.780977133,2.162263451,0.867222694,1.816556416
Chile,2.256417869,1.546178446,2.108503707,1.419494171,1.444901666,3.116399735,2.085459912,2.058889193,0.392224967,-2.031241691,-0.696698071,-0.498430396,-1.180176038,-0.420251537,2.047624295,4.542589198,7.459448348,7.90885364,3.934391847,-4.240902939,-0.360699196,1.421575359,0.681124044,-0.469625822,-1.490456333,-2.076869328,-2.649455019,-2.621594787,-1.464831463,-2.647457576,-8.704899619,-4.006235475,-3.800297134,-3.040825283,-2.314611859,-1.547382294
"China, People's Republic of",-0.718855095,-1.043601088,-1.224926783,-0.895421286,-1.690205129,-0.95252502,-0.740213912,-0.733380182,-1.087653407,-2.322645498,-2.845991505,-2.595871648,-2.883545467,-2.394297322,-1.511828484,-1.401483761,-1.143696889,0.058939131,-0.02477351,-1.750808613,-0.361978602,-0.098097733,-0.301715139,-0.836155369,-0.885287508,-2.792097927,-3.703005601,-3.835419912,-4.654898275,-6.312102773,-11.88696226,-11.77995622,-10.90386886,-9.993034167,-9.079613205,-8.134968825
Colombia,-0.406030402,0.349558336,-0.066893306,-0.239865803,-0.137971731,-0.998556468,-2.494878364,-3.226762007,-3.864130679,-5.367242554,-2.9558807,-2.918642899,-3.456782655,-2.706396828,-1.272520718,-0.02077113,-0.992650981,-0.819775092,0.041817672,-2.674047345,-3.302773297,-1.992981679,0.154783418,-1.020744499,-1.744077029,-3.520222725,-2.273956996,-2.495518534,-4.676457758,-2.506896198,-9.477480026,-6.19513522,-3.155093133,-1.959549528,-0.875152691,-0.903389772
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,-0.561980951,-1.055730252,-1.548478036,-1.348249248,-1.845960544,-1.272856613,0.718662483,-4.24187437,-0.433446071,0.639408681,1.055800137,0.454418055,-0.477268486,0.925094788,-1.001360115,-0.984836539,1.750455201,1.874388453,-0.017410013,-0.405973609,-0.494661694,1.354790244,-0.04814787,-2.052528423,-1.896024389,-0.27219811,-0.26770885,-0.673671661,-0.917664362,-0.881599713
"Congo, Republic of ",-4.103315379,-11.19545205,-12.68441324,-11.30642929,-10.62698922,-6.379538956,9.195060399,3.667710097,-5.159991398,-4.745997859,1.046864035,-0.705858267,-7.341981696,0.365582583,3.325541757,13.40279368,15.95727855,8.986431279,23.89676581,4.755979122,15.51710743,16.06509503,7.235995846,-2.849273704,-10.73220658,-17.80514785,-15.64343938,-5.932308787,5.758977417,5.822491887,-2.105956644,1.83831622,3.830830616,4.841364923,5.10807313,5.463281957
