Year,Algeria,Angola,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Benin,Bolivia,Brazil,Burkina Faso,Cambodia,Cameroon,Canada,Chad,Chile,"China, People's Republic of",Colombia,"Congo, Dem. Rep. of the","Congo, Republic of ",Croatia,Cyprus,Czech Republic,Côte d'Ivoire,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Guinea,Haiti,Honduras,Hong Kong SAR,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,"Korea, Republic of",Kuwait,Kyrgyz Republic,Lao P.D.R.,Latvia,Libya,Lithuania,Luxembourg,Madagascar,Malaysia,Mali,Malta,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Papua New Guinea,Peru,Philippines,Poland,Portugal,Qatar,Russian Federation,Rwanda,Saudi Arabia,Senegal,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Tajikistan,Tanzania,Thailand,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Advanced G-20,Advanced economies,Emerging G-20,Emerging Market and Middle-Income Economies,Emerging and Middle-Income Asia,Emerging and Middle-Income Europe,Emerging and Middle-Income Latin America,Emerging and Middle-Income Middle East and North Africa and Pakistan,Euro area,Low-Income Developing Asia,Low-Income Developing Countries,Low-Income Developing Latin America,Low-Income Developing Oil Producers,Low-Income Developing Others,Low-Income Developing Sub-Saharan Africa
2000,9.701394446,2.289322438,-3.416751183,1.254070568,-2.063208721,0.144727517,-2.918305461,no data,-0.079219584,-3.692199256,-3.728130401,-3.319675883,-3.027830265,-4.815447139,1.614426938,2.639703961,-6.072750732,-0.696698071,-2.845991505,-2.9558807,-1.845960544,1.046864035,-5.493984205,-2.239756864,-3.564195284,-0.830559712,1.887315728,-1.395000562,-0.306545905,1.32027816,-0.087438652,-8.88036366,6.726667742,-1.318490313,-1.584664476,-4.2866894,-4.063095145,-2.454890694,-2.338243612,1.508103363,-0.587149593,-3.032568471,1.223316333,-8.264003329,-1.869997613,6.631747602,4.849845688,-0.950199229,-2.423333465,-8.252212809,no data,-0.047752176,4.04960052,31.61395897,-10.69669466,-3.575557095,-2.509553484,14.0769253,-3.98026584,5.528763871,-2.35253754,-6.052531378,-2.642545499,-5.804955424,-2.814772249,-3.546063797,-4.980202315,-2.13554391,-1.345272019,-5.582052414,-1.688982382,1.165468676,0.144959928,2.094630345,-2.819048162,4.065055724,15.06484511,13.87570662,-4.009391436,0.303521225,-2.115749849,-3.273769477,-2.981482526,-3.397991191,4.621880259,3.107075867,-0.260414263,3.184129145,0.788395262,4.592846764,-12.63095723,-3.645023895,-1.538852566,-1.16076073,-8.039779604,-0.69807111,3.14697874,0.289252401,-5.554753176,-0.730489235,-1.792068001,-8.369958562,-0.623678685,-3.186267271,10.56730307,1.360012121,no data,-3.009152679,-3.875061334,4.449624304,-1.60529925,6.08732201,1.160610163,no data,no data,-2.333313332,-3.165951379,-1.642664221,-4.100157185,-2.830068887,-2.53072978,7.001081131,-1.27255729,-2.521205734,-0.720312847,0.753174554,3.976773581,-0.887964614,0.222728116
2001,3.739585058,3.176461513,-5.364146344,-0.030366361,-0.658410312,21.76404562,-4.080077757,-4.900552118,0.233037623,-3.269426664,-6.819600146,-3.171758693,-3.557443584,-5.14641412,0.908901616,0.529468967,-4.585337024,-0.498430396,-2.595871648,-2.918642899,-1.272856613,-0.705858267,-5.722979164,-2.107402184,-5.461966573,0.699235343,1.14055439,-1.628853133,0.030917104,-1.06982542,0.179144903,-3.760400444,4.891169068,-1.379209466,-3.025444871,-3.900145546,-5.46604991,-3.308429337,-2.725235793,-3.118870878,-4.836281548,-4.054368226,-0.9668453,-10.84282609,-1.763414748,1.008416468,0.944916748,-3.96890734,-3.190306547,-6.538313503,no data,-1.269346361,2.507869282,28.67138936,-6.747459221,-3.682978912,-1.991208326,0.069042123,-3.616960138,5.682735992,-3.614406154,-4.360678479,-2.798265618,-6.49114747,-2.706675653,-0.344750246,-3.696275062,-4.101552088,-4.717454074,-5.830279334,-2.684784875,-0.475636101,1.26158068,0.28508935,-2.580375971,-3.221992192,13.20765452,8.613198442,-3.059927898,-1.329111155,-2.153764492,-3.494121809,-4.785894368,-4.783155957,4.480566346,2.991244534,-2.114487871,-3.905922395,-1.517749638,1.196592559,-7.220613697,-4.450602193,-1.131747336,-0.454926083,-8.76587081,-0.766880761,1.412292295,0.213453587,-3.18848011,-0.414088584,-1.768093556,-11.66831799,-0.993817731,-3.031377244,1.205323596,0.21386986,-0.536768469,-3.111705015,-3.473917387,-4.593408018,-2.192236998,2.787014748,-5.892186391,no data,-1.90588484,-1.65431978,-3.769434316,-2.978626439,-4.408520466,-3.161168825,-3.219154345,1.000251965,-1.957010655,-3.360890493,-2.489938192,-1.930971427,-2.46099514,-1.073145419,-2.327168338
2002,1.163836561,-2.54244693,-1.910149902,0.193049451,-1.864523021,19.39308714,-2.737512095,-8.073324753,-0.043805237,-3.329892397,-8.788018921,-4.419657095,-4.432617637,-6.381041058,1.608058443,-0.233895789,-5.291648389,-1.180176038,-2.883545467,-3.456782655,0.718662483,-7.341981696,-3.289686243,-4.13063795,-6.334230404,-0.637288854,-0.015387103,-1.809342111,0.699457232,-6.76778842,0.401308278,-5.764230504,3.973438573,-3.160226951,-3.874993176,-2.923329108,-6.024066903,-3.528636513,-3.141052529,-5.015399323,-4.773206644,-8.840647386,-2.768544211,-10.88126472,-0.576098503,0.47705345,-0.532798035,-8.273329376,-2.869301371,-7.913874441,1.92388776,-2.628237333,3.34599568,19.33535798,-5.900032633,-2.84963731,-2.511863584,7.215356957,-1.793871961,2.021940888,-4.092046062,-3.959800368,-3.094188867,-5.647092589,-2.290238431,-1.178997491,-4.047565821,-4.727871244,-3.560332015,-3.724490867,-2.810845908,-2.129158294,2.526050958,2.014781229,-2.206910928,1.342477322,9.040656594,6.084632426,-3.313423367,-1.749991285,-1.403800951,-3.706824254,-4.845742156,-3.78190486,7.890903742,0.672593623,-2.367202008,-5.906988551,0.196952249,2.232090069,-8.220598242,-2.374238808,-1.071033093,-0.316722522,-7.136968964,-0.685290221,-1.421756078,-1.792166675,-2.441323133,-0.726687209,-6.722498641,-11.3393584,-2.068174876,-1.84119974,-1.237840424,-1.872835652,-3.811844794,-3.476372388,-6.691234869,-1.48231228,-1.854854771,-0.555482488,-4.498904659,no data,-3.916355322,-3.51880586,-3.98981962,-3.531948456,-4.633754467,-4.118181607,-2.780038881,-1.086242465,-2.672061713,-2.590873981,-1.524922334,-2.39081802,0.724731468,-2.441200219,-0.734640552
2003,4.875635436,-4.684639627,1.500146081,1.053912833,-1.381754272,1.604626259,-2.342577816,-6.96918778,-1.864040313,-1.072040365,-7.875395133,-5.177212713,-1.789912827,-6.168518824,0.613555727,-0.126957865,-5.597937356,-0.420251537,-2.394297322,-2.706396828,-4.24187437,0.365582583,-4.520851876,-5.907264971,-6.852675378,-1.261225704,-0.133147637,-6.186537755,0.9980083,-5.729070408,1.793396052,-5.592003549,2.339389386,-4.015475885,-3.704201088,-2.141302981,-7.830412789,-4.685691016,-3.645924977,-5.093454515,-3.171906963,-7.118101041,-3.097671093,-11.23113542,-1.077264611,1.175460558,0.333731778,-5.022767578,-3.217625671,-8.046477236,3.996048749,-1.637685404,1.563930596,17.30812284,-5.1693277,-3.885364168,-1.597142318,6.363470207,-1.26544995,0.259662896,-3.321644201,-4.596958967,-1.187494832,-9.08820889,-2.355481126,0.469967723,-2.894600249,-4.052805076,-2.774347028,-3.918043545,-0.385748622,-3.142294417,3.654916853,1.238227126,-2.16769329,-2.195152295,7.21152333,6.7678813,-0.147633917,0.187883002,-1.622006561,-3.491060452,-6.077098578,-5.615678051,6.710575951,1.350124439,-1.427573011,1.198598198,-0.520086861,0.678051636,-3.120087947,-2.594745699,-1.785391903,-0.375062635,-6.359469097,0.768410924,-1.234339578,-1.393516575,-1.762024288,-1.774952997,1.978324178,-7.571834758,-0.96912042,-0.893075984,2.351606238,-3.132229269,-4.763547662,-2.393224195,-5.162587161,0.171416445,-2.558550073,-4.200715724,-5.314294719,no data,-4.495959925,-4.02054024,-3.392325005,-2.754330761,-4.087284747,-3.143195785,-2.70525588,2.034186948,-3.091343624,-2.507746758,-2.233905941,-2.78199739,-2.418193273,-2.109054249,-2.084256427
2004,5.25924119,1.183548751,3.96689503,1.327148274,-4.83905389,1.781438087,-2.623860389,-7.303667389,-0.238730544,-0.704772656,-5.543419582,-2.876038656,-4.194054415,-3.56151363,-0.491390677,0.767669538,-2.386961211,2.047624295,-1.511828484,-1.272520718,-0.433446071,3.325541757,-4.966811956,-3.711615487,-2.368304567,-1.037878143,2.073171218,-3.447419839,1.867465896,-5.762199715,2.371237748,-2.651278615,2.157371597,-3.590570293,-3.334158372,-2.175415338,-8.82787173,-3.88371614,-2.291981982,-2.475410019,1.605332591,-6.333387372,-0.322526167,-9.062075245,-0.260210025,3.379036539,1.286516782,-3.516075637,-3.478847637,-5.881387539,3.287320031,-0.046410161,0.089544783,22.21186677,-4.891663885,-1.810420158,-0.997483784,11.67475405,-1.532122262,-1.405738218,-4.232413882,-3.35346367,-2.359850541,-4.38153106,-1.410305664,0.592848783,-1.389614878,-3.585775717,-3.313279622,-4.25465022,-0.164074411,-1.825289163,4.467462003,1.664438922,-2.754227097,5.488352319,10.85635607,6.222722079,-1.616841835,2.025059805,-1.032734878,-2.807019248,-5.043921533,-5.969340853,18.31647374,4.57475069,2.58753068,9.71788156,0.182451006,2.059766049,-2.316389931,-1.941132611,-1.168230183,-0.095178588,-6.535800554,0.156031096,0.351636672,-1.427707694,-2.368758614,-2.433816886,1.105924705,-4.121585639,0.342505422,-4.414977932,6.399659328,-3.070914336,-4.23837527,-0.947073129,-3.964310701,2.470453084,-0.149638141,-2.152456222,-2.508440648,no data,-3.804832799,-3.281625329,-1.390014555,-0.949508922,-3.038751636,-0.900572093,-1.023424836,6.470421013,-2.865330616,-1.508029166,0.164956323,-1.114827673,4.44087589,-1.561422923,1.401947255
2005,13.63119545,7.17049401,3.340623023,1.712469173,-2.540768458,2.740818919,-2.8525622,-6.934229041,-2.715159804,-1.523283516,-2.244734708,-3.538574319,-4.889532822,-0.384228826,3.292490638,1.553120098,-0.068460743,4.542589198,-1.401483761,-0.02077113,0.639408681,13.40279368,-3.665671664,-2.22433614,-2.972515531,-1.025135214,4.955097249,-0.403013247,0.641330682,-6.687293436,1.114890351,-4.12228972,2.588546758,-3.355559897,-3.319436615,-2.016088795,-6.187952339,-1.074191657,-1.382402221,-0.032652263,0.970566063,-7.787704299,4.446203114,-7.368330522,0.423535186,3.574708065,1.560885587,-2.652472028,-4.082523508,-4.963283167,6.077754759,-1.405019067,0.823063148,43.30384488,-3.789101182,-2.541263726,-1.025790578,31.35546307,-0.504435242,-0.214111371,-2.474755887,-2.832840099,-2.764112925,-2.608904816,-1.49938925,1.440722637,2.434672847,-5.903622979,-2.144803366,-3.2544523,0.279405381,-0.39645442,5.105889533,1.686866131,-1.522980005,4.90767945,14.76366429,12.80515884,-2.814233268,2.849152348,-0.435681849,-1.624638178,-3.961814618,-6.106434012,10.62580033,7.596959645,1.277366914,17.98693164,-0.262599063,2.555514611,-2.874284945,-1.324123434,-0.115329187,1.231564543,-6.133071954,-1.875672021,1.834235445,-0.66103484,-2.898959988,-3.276093708,2.17304018,-0.74895477,-0.16996894,-2.276962102,15.98705496,-3.148307567,-3.068892447,-0.300823137,-3.731083031,4.094750866,-0.954019503,-1.821754146,-2.372064414,-5.26517148,-3.06445368,-2.468025286,-0.180907948,0.688043304,-2.456038424,1.680382099,-1.05424432,13.22046763,-2.590350374,-1.662234638,0.208315412,0.216055374,4.426020457,-2.236856778,1.527239523
2006,13.96073679,9.422799441,1.650070275,1.776333552,-2.563440822,0.662965133,-2.57255392,-7.966994915,0.239457975,-0.146542915,4.469895705,-3.569679918,14.34567379,-0.172371031,30.45265637,1.827604363,2.219644466,7.459448348,-1.143696889,-0.992650981,1.055800137,15.95727855,-3.13230834,-1.041243492,-2.160395663,-1.034356877,4.987100686,-0.941832349,2.851907229,-7.354560014,2.896765542,-3.787920745,3.924301752,-2.443685608,-1.653152096,-3.338040154,-5.945965795,-2.179952135,-1.43635143,-1.355423713,3.833305206,-9.26235115,5.806336277,-6.320713097,0.372497299,1.87396285,2.767517492,-0.941455389,-3.616569212,-3.492296249,7.652628519,-2.041197684,1.032556137,31.89476492,-2.095369146,-1.481897626,-0.458924734,31.80687234,-0.446592548,1.926154228,-3.029672814,-2.601963366,27.78299183,-2.50971543,-1.282297332,-0.418723607,7.584876059,-1.948366328,-3.153150603,-3.209235599,0.268424303,0.099393375,4.591862351,1.009283601,30.95612399,8.759047318,17.93764969,13.98794212,-3.285768534,5.337371913,2.02912779,-0.046357841,-3.557361724,-4.086881783,9.253858429,7.803539032,-0.028917915,20.82287441,-3.615586269,2.159889319,-3.578512954,-1.231001929,0.911489131,2.124079644,-6.112424215,-1.323350301,2.233965944,0.867103741,1.705167011,-3.384862935,1.866659795,-0.685448109,-0.637013441,-1.364704915,20.15003593,-2.770178511,-2.029373996,-0.701378655,2.884551488,-1.604650049,0.200491641,1.186180547,16.91274579,-2.14951619,-2.038365338,-1.413246099,0.249092281,1.014951706,-1.98843849,2.191791144,-1.282335012,13.76277309,-1.50859569,-0.770140098,3.490688934,-0.657145905,8.292340406,0.194990193,6.086648192
2007,6.597717279,4.311929563,0.756974472,1.477834691,-1.382364127,2.33710871,-2.232744899,-8.086999839,0.066585375,0.222004233,1.740780407,-2.737253491,-5.014919427,0.726747535,4.139012492,1.819655807,2.524757568,7.90885364,0.058939131,-0.819775092,0.454418055,8.986431279,-2.229337249,3.228164349,-0.650234109,-0.388508176,5.020456096,0.105153081,2.597920152,-4.898811489,2.693203998,-3.567435102,5.115142833,-2.636244694,0.26088696,-5.277802839,-6.707062893,1.263189428,-2.500140877,-0.253748057,7.336107006,-5.03197709,4.866704399,-4.505137454,-0.947178171,6.46764793,0.258953531,-0.277437932,-1.34025662,-3.21039662,5.134414782,-2.417758137,2.07497016,37.41125072,1.276876611,-1.123091609,0.596776767,28.58098021,-0.998290802,4.407350426,-2.307582103,-2.57083038,-2.784249125,-2.134612904,-1.527124003,0.148232521,2.638636392,-0.125774634,-2.272396879,-3.295766863,-0.765776256,-0.091897217,3.568282203,1.303952994,-0.744615765,-1.116384672,17.09533724,12.03819464,-5.116785172,6.899333849,3.348358349,-0.284924301,-1.852922951,-2.935813265,11.16837101,5.585366969,-1.550127585,11.78360187,-2.737063179,7.120218448,-2.05039952,-0.049039873,1.355834395,1.88621705,-6.003815506,-2.841968725,3.335052065,1.610297727,-5.533871224,-1.444448973,0.219944574,-1.926481724,-0.815082587,-1.967389628,17.12373086,-2.657663471,-2.910243826,-0.17100839,3.766072823,-2.815425963,-1.738759439,-7.183132372,-1.036850222,-2.523453985,-1.984141292,-1.271119062,0.069072898,0.861294469,-1.106726932,1.333553123,-1.173453742,11.55668729,-0.637202973,-1.590351448,-1.344607742,-0.318512449,-1.204559006,-2.010846241,-1.150948686
2008,9.616348354,-4.235149508,0.351972892,-1.101775806,-1.521402197,17.19381939,-4.030652684,-11.27461872,-1.095319865,-0.040904611,3.569484155,-1.533339317,-3.62731448,0.503094496,2.090429521,0.184425129,3.614315932,3.934391847,-0.02477351,0.041817672,-0.477268486,23.89676581,-2.824075009,0.865878293,-1.970510975,-0.209870742,3.173907975,-3.249804156,0.56232864,-6.049311935,-2.646999166,-2.882350064,4.179857411,-3.26373483,-0.116356239,-5.943775769,-10.17604033,0.374173012,-2.880534178,-0.266666666,0.086453097,-3.615037679,-12.85034622,-8.982172837,0.054113001,0.587707068,-7.022829202,-3.394860445,-2.563900592,-4.530917735,1.227135161,-3.379314233,1.457175802,20.16402332,1.924070328,-1.857968543,-3.145891157,32.50206406,-3.265734502,3.528856367,-1.723202612,-3.404737749,-1.976787138,-4.12986034,-0.712951316,-0.870607993,-4.521413161,0.677363559,-1.947086807,-2.579214272,-0.331838455,0.201329423,1.444586273,-0.422148027,1.108066113,5.696888121,18.63275965,16.79723032,-7.059466964,2.734141083,2.679829446,0.016475724,-3.600188824,-3.699584652,10.2718417,4.5494902,0.822468957,29.8019056,-3.496986198,3.589224189,-2.523385197,-1.393777834,-0.535420152,-4.572251048,-6.129922412,0.491470457,1.907595949,1.980548584,-5.061223837,-1.919497985,0.801032877,-2.639953132,-1.994766341,-3.138849767,17.63733116,-5.145632106,-6.630047934,-1.424153749,6.327200344,-3.46101926,-0.447228868,-4.531695393,-0.667891772,-1.804189355,-4.263005037,-3.550066609,0.547433529,0.814009157,-1.677851945,0.539841742,-0.828810513,14.25756772,-2.155352296,-1.699812032,0.993163054,-0.906207678,5.431789491,0.723337596,2.221745642
2009,-5.807077979,-7.89737672,-1.830044406,-4.571527024,-5.355725043,5.852890415,-3.210027688,-7.231963268,-5.430870515,-2.241002705,0.014122068,-3.187543955,-4.160443428,-4.781076888,-0.043528538,-3.881351769,-9.203228787,-4.240902939,-1.750808613,-2.674047345,0.925094788,4.755979122,-6.047900209,-5.433321732,-5.417138724,-1.001255354,-2.798141618,-3.016830321,-3.569994934,-6.195440023,-2.171671967,-0.932116785,-2.483672358,-7.174779051,-3.150511299,-5.378340104,-15.14772622,-4.892582486,-3.515680474,-4.8648519,1.531527485,-4.554172564,-9.475522177,-9.534028834,-1.644115315,0.799211136,-13.85630464,-6.298347776,-5.121045664,-10.1924613,-1.328048731,-4.340435857,0.016879112,27.51296102,0.377512204,-3.095611839,-6.983326227,-6.53411762,-9.328661786,-0.245020486,-2.261323331,-5.879790486,-3.716855482,-3.17589946,-4.125045437,-6.382820742,-5.19880082,-1.763163193,-4.479363938,-3.309889667,-2.552142277,-5.086245803,-1.840971712,-1.483188494,-3.915901871,-5.325943344,10.2394048,-0.310174628,-5.047740832,-5.482534833,-1.388687831,-2.568889507,-7.252678125,-9.872561589,16.13574162,-5.888910069,0.258182942,-5.383449023,-3.625166582,-0.09373346,-8.14938935,-5.813007345,-5.202270775,-11.27591944,-8.608197091,-3.795780858,-0.710859409,0.509149404,-5.229057329,-4.418157657,-2.213973862,-5.839281542,-1.609836154,-6.271518025,-6.126623158,-10.08218088,-13.19684855,-1.520491225,1.927152303,-8.685966478,-4.824318783,-10.21097569,-2.057125339,-2.175792257,-9.47852908,-8.736682171,-3.79351381,-3.643805349,-3.305891333,-5.772266631,-3.623111204,-0.953989841,-6.230037013,-4.047564356,-3.820963261,-3.606937784,-5.529146673,-3.322710571,-3.827539169
2010,-0.03846871,3.394898885,-1.393454664,-5.127057206,-4.453403655,13.83124453,-2.675356067,-4.186628048,-4.08770722,-0.275538513,1.665902006,-3.823640917,-4.058343741,-3.79540501,-0.980051223,-4.737558582,-4.151880108,-0.360699196,-0.361978602,-3.302773297,-1.001360115,15.51710743,-6.465801166,-4.696572368,-4.157836343,-1.33690442,-2.710215658,-2.728864335,-1.357407946,-7.446819593,0.185391035,-1.320751331,-2.53371106,-6.886671555,-4.378646077,-7.520368905,-11.19713668,-9.661243263,-2.681295921,-3.371280219,4.136195813,-4.462013926,-9.455443502,-8.625845182,-1.242195971,2.647304553,-32.07635509,-3.484840495,-4.2397375,-9.534429624,1.469692441,-4.411461707,1.466794701,25.96242005,-5.946895222,-1.46913684,-6.469931941,12.53399402,-6.918585906,-0.391509739,-0.760375833,-4.319070489,-2.567534579,-2.316674599,-3.975055986,-2.178254279,0.425427465,-4.255551826,-3.503134409,-4.960256178,-0.766435568,-5.246195558,-5.400221339,-0.129158975,-0.982731466,-4.171340307,10.92272019,5.634421544,-6.012626895,3.062360766,0.122106823,-2.253638815,-7.396815203,-11.39839197,7.086019137,-3.193876296,-0.636022315,4.391630004,-3.911081087,5.685498484,-7.455990272,-5.599784402,-5.026295181,-9.526628377,-6.954132955,0.110568158,-0.045976291,0.36349566,-2.97868327,-4.700469083,-1.069704512,-3.401589102,-4.644662136,-5.772013794,0.550781008,-9.279585499,-11.02441694,-0.422520279,2.730810106,-4.73949128,-2.250905932,-4.058458583,-2.432209004,0.618568643,-8.402836707,-7.732471036,-2.485193749,-2.218593736,-2.158814854,-3.710440041,-3.31794645,3.108525336,-6.270072737,-2.482231651,-2.734324361,-2.311603424,-3.585050157,-0.318510977,-3.375469005
2011,-0.104373158,8.081202716,-2.74564846,-4.531357508,-2.577134131,10.85964091,-3.589160486,-2.805920045,-4.32999617,-0.981309004,0.831387469,-2.466942409,-2.039418509,-4.694837914,-2.354505362,-3.308732553,2.390733779,1.421575359,-0.098097733,-1.992981679,-0.984836539,16.06509503,-7.913683099,-5.6657796,-2.705250173,-2.889174268,-2.055766184,-3.050161114,-0.126728357,-9.600046002,1.146992521,-1.607127794,-1.019202214,-5.154760881,-0.881398595,-5.493701884,-10.27875322,-0.93571808,-2.474288492,-2.942645813,3.769966286,-5.242145917,-5.406967648,-8.349151646,-0.702931864,0.607006604,-12.8472145,-2.867555194,-3.593011944,-9.441373001,5.811035754,-4.116999259,1.622327273,33.28149059,-4.70461583,-1.429071373,-3.184649573,-17.23662631,-8.95527348,0.634316083,-2.043157171,-3.567623431,-3.416808715,-2.378477422,-3.335840311,-2.049645065,-4.013807862,-6.574812121,-4.407616024,-4.429778982,-0.817550689,-4.426939583,-4.909528926,-0.059152709,-2.189399477,0.431870795,13.34841799,9.387001243,-6.729992274,2.215389454,2.011857978,-0.304079353,-4.879552833,-7.663219876,7.327261726,1.431818865,-0.856973535,11.55399966,-4.90028368,7.96190982,-4.455840392,-6.629230462,-4.076716548,-9.739575451,-6.235896799,-2.326719469,-0.229109916,0.699258065,-2.14166638,-3.513895779,0.094141532,-0.68169647,-2.042710281,-2.76155758,5.315724187,-7.507779622,-9.703224042,-0.364157376,5.440980555,-8.243967775,-0.900955874,-4.506747746,-1.783438537,-2.163948026,-7.031638607,-6.323210501,-1.081096603,-0.939614751,-1.619003839,-0.238638414,-2.654204165,5.192665753,-4.230265999,-2.248854629,-1.241436475,-2.035250999,0.600105627,-0.309825175,-0.915480252
2012,-4.434618991,4.131198072,-3.0180556,-3.51059687,-2.189054492,3.705480028,-2.976619202,0.359824811,-4.318508448,-0.215565666,1.756819956,-2.519577304,-2.76326957,-4.524739141,-1.446431669,-2.524517007,0.473324109,0.681124044,-0.301715139,0.154783418,1.750455201,7.235995846,-5.353804912,-5.566186229,-3.902064901,-2.276506599,-3.490444865,-6.560338978,-0.937175392,-10.00495133,-0.255623946,-1.171938787,-2.155822063,-4.980984334,0.009324994,-8.379790163,-6.556348194,-2.510442501,-4.71159458,-3.483095592,3.142946852,-2.33634441,-3.608565647,-7.549559685,-1.586458811,-0.321981057,-8.101807666,-4.285819803,-2.945408004,-8.613190921,4.430881585,-5.031750353,1.49005497,32.42760018,-5.861999576,-2.343219608,0.175013806,28.55622233,-3.148478132,0.481273845,-2.237311654,-3.102877242,-0.956306003,-3.393324154,-3.726329406,-1.930739998,-6.243683945,-7.176977665,-3.616077257,-2.651441533,-1.342187211,-3.918427606,-2.201746955,-0.14968831,-0.828344327,0.346283752,13.76254068,4.647168249,-8.630878208,-1.189962176,2.0517802,-0.29399883,-3.741590284,-6.179761681,10.52525815,0.382340506,-2.370681284,11.93297628,-4.146118768,7.33677274,-4.36708499,-3.99467083,-4.425801537,-10.73572955,-5.599382442,-7.366593852,-1.008739847,0.241755187,0.589504209,-4.060165285,-0.860479551,-1.817412268,-2.385337726,-4.307064511,9.005543246,-7.639459914,-8.028126727,-2.370419816,6.24491205,-10.4465382,-5.46226463,-6.31517652,-2.831718812,0.806975674,-6.087545807,-5.524146913,-1.216082299,-0.940249904,-1.592303477,-0.723307633,-2.85739686,6.858737089,-3.706521069,-3.980470698,-2.008918035,-2.795311424,0.047649887,-1.391703533,-1.155242316
2013,-0.399960355,-0.303788881,-3.253828427,-2.812740563,-1.950076919,1.643475099,-3.380950506,-0.981959041,-3.129301568,-1.365033987,0.656366485,-2.955004275,-3.547978636,-2.616319114,-3.705266412,-1.494705998,-2.06506775,-0.469625822,-0.836155369,-1.020744499,1.874388453,-2.849273704,-5.337294578,-5.172576675,-1.234162022,-1.620946129,-1.235647209,-3.472395611,-4.570096766,-12.92682219,-0.169412619,-1.930531162,-2.524948488,-4.084094523,0.039980792,-9.177944997,-3.621840646,-3.873610394,-7.009226526,-5.729798638,1.007552967,-2.602763252,-1.776399951,-6.999618196,-2.21677129,-0.897657454,-6.196213329,-3.969403633,-2.854253384,-7.910520286,4.945693553,-5.696469697,0.618971959,34.11377977,-3.699422342,-4.030674231,-0.559569227,-5.108009164,-2.618708031,0.820008817,-3.402964519,-3.478227832,-2.371998742,-2.334994263,-3.707050792,-1.565176163,-0.927077623,-5.088298217,-2.58857705,-1.717432423,1.810077227,-2.928703046,-1.296758542,-0.710709796,-1.92878951,-2.236676287,10.66825474,4.677535108,-8.368800612,-6.869744309,0.735140082,0.187422363,-4.181917327,-5.104507946,21.55934531,-1.162177877,-1.264318389,5.638504695,-4.324716266,5.962163662,-2.869611997,-14.57852709,-4.267668745,-7.035932839,-5.185399481,-5.759499899,-1.395934937,-0.443564455,-0.901501823,-3.809762924,0.515540594,-1.458263056,-3.190482822,-4.784336315,8.394936711,-5.526205187,-4.56396358,-1.878622529,2.312358412,-11.26458124,-5.964025798,-6.897118695,-6.207747691,-0.620527424,-4.100107094,-3.73032478,-1.823580095,-1.460248055,-1.801975297,-1.488405816,-3.1729043,4.962781261,-3.012908926,-4.264764921,-3.309753632,-4.561800109,-2.60087955,-2.523150463,-2.960257936
2014,-7.300076617,-5.720349848,-4.252429085,-2.918617759,-2.729141959,2.742339379,-3.076787055,0.092110405,-3.055552798,-1.650544396,-3.363624188,-6.021062709,-1.737416156,-1.642672921,-4.250527119,0.17489616,-4.18235925,-1.490456333,-0.885287508,-1.744077029,-0.017410013,-10.73220658,-5.349518021,-0.234369615,-2.083890389,-1.568286088,1.144427647,-2.752731334,-5.223995794,-11.28648436,0.680614361,-2.582328858,-2.98747686,-3.904659346,0.579552713,-7.975388052,-4.06972058,-3.20727301,-6.279899911,-2.89690526,3.592018462,-2.78421958,-0.071953548,-7.071068563,-2.145667473,-1.139558466,-3.619527756,-2.269233296,-2.954396724,-5.635756486,2.48184788,-7.390232007,0.397084576,22.36400029,-3.068269881,-3.132231383,-1.679630015,-73.81037219,-0.664937282,1.300567593,-1.960686063,-2.62843747,-2.886447098,-1.69807166,-4.534639653,-1.585012059,-3.725394185,-4.848407566,-10.26184504,-1.315294769,1.531011327,-2.152004289,-0.43964313,-1.270881633,-6.10453222,-2.038719837,8.622987544,-1.079853429,-4.852154379,-6.265024183,-0.228065723,0.826417643,-3.64616404,-7.309121388,15.40426287,-1.069955791,-3.900358956,-3.541991719,-3.386812365,4.599847214,-3.109800317,-5.507210178,-4.263063401,-5.915373422,-6.231145555,-4.717110377,-1.525798138,-0.253055468,-0.126173413,-2.911427175,-0.800923002,-1.422647354,-2.740455131,-4.459976275,1.911034895,-5.557086197,-4.057772244,-2.836202581,2.0514632,-15.55323382,-5.016688996,-4.136083974,-5.798845179,-0.420596268,-3.430429572,-3.116015718,-2.581763322,-2.435095082,-1.860362077,-1.437561426,-5.044967258,-1.115722265,-2.460525945,-3.718963817,-3.1307137,-3.153469019,-2.546876118,-1.678293267,-3.112921713
